小区名称,均价,在售二手房(套),销售状态,商圈,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数,附近门店,详细地址,小区详情网址,成交时间,成交价格(万),成交单价(元/每平),挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,房屋详情网址
汇雅花园,20675,20,90天成交0套3套正在出租,白云白云大道北,1996年建成 ,塔楼       ,0.65元/平米/月,广州雅汇物业管理有限公司,无开发商,33栋,1068户,暂无门店信息,(白云白云大道北)新广从路汇雅花园,https://gz.lianjia.com/xiaoqu/2111103317585/,2016.03.31 成交,59.5,9154,59.5,暂无数据,1,0,0,暂无数据,2室2厅1厨1卫        ,高楼层 (共7层)          ,65㎡          ,暂无数据              ,暂无数据         ,西北   ,1996 ,简装     ,钢混结构  ,        ,一梯四户           ,70年           ,无           ,GZ0001277572          ,商品房          ,2017-12-20         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001277572.html
汇雅花园,20675,20,90天成交0套3套正在出租,白云白云大道北,1996年建成 ,塔楼       ,0.65元/平米/月,广州雅汇物业管理有限公司,无开发商,33栋,1068户,暂无门店信息,(白云白云大道北)新广从路汇雅花园,https://gz.lianjia.com/xiaoqu/2111103317585/,2016.04.13 成交,53,8154,53,暂无数据,1,0,0,暂无数据,2室1厅0厨1卫        ,中楼层 (共7层)          ,65㎡          ,暂无数据              ,暂无数据         ,西南   ,1996 ,其他     ,钢混结构  ,        ,一梯四户           ,70年           ,无           ,GZ0001582146          ,商品房          ,2017-11-28         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001582146.html
汇侨新城东区,25141,28,90天成交0套25套正在出租,白云新市,1998年建成 ,塔楼       ,1元/平米/月,广州侨鑫汇景物业管理有限公司,侨鑫集团有限公司,30栋,982户,暂无门店信息,(白云新市)汇侨路汇侨新城东区,https://gz.lianjia.com/xiaoqu/2110343238861025/,2016.07.28 成交,110,13096,120,48,0,0,0,暂无数据,3室1厅0厨1卫        ,低楼层 (共9层)          ,84㎡          ,暂无数据              ,暂无数据         ,东北   ,2000 ,其他     ,钢混结构  ,        ,一梯四户           ,70年           ,无           ,GZ0001751526          ,商品房          ,2016-06-10         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001751526.html
汇侨新城东区,25141,28,90天成交0套25套正在出租,白云新市,1998年建成 ,塔楼       ,1元/平米/月,广州侨鑫汇景物业管理有限公司,侨鑫集团有限公司,30栋,982户,暂无门店信息,(白云新市)汇侨路汇侨新城东区,https://gz.lianjia.com/xiaoqu/2110343238861025/,2016.08.14 成交,73.6,10083,73.6,暂无数据,1,0,0,暂无数据,2室2厅1厨1卫        ,高楼层 (共9层)          ,73㎡          ,平层              ,暂无数据         ,南   ,2000 ,简装     ,钢混结构  ,        ,一梯八户           ,70年           ,无           ,GZ0001396610          ,商品房          ,2016-10-20         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001396610.html
汇侨新城东区,25141,28,90天成交0套25套正在出租,白云新市,1998年建成 ,塔楼       ,1元/平米/月,广州侨鑫汇景物业管理有限公司,侨鑫集团有限公司,30栋,982户,暂无门店信息,(白云新市)汇侨路汇侨新城东区,https://gz.lianjia.com/xiaoqu/2110343238861025/,2016.09.07 成交,85,11487,85,223,1,0,2,暂无数据,2室1厅0厨0卫        ,中楼层 (共9层)          ,74㎡          ,暂无数据              ,暂无数据         ,西   ,2000 ,简装     ,钢混结构  ,        ,一梯八户           ,70年           ,无           ,GZ0001310428          ,商品房          ,2016-01-28         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001310428.html
汇侨新城东区,25141,28,90天成交0套25套正在出租,白云新市,1998年建成 ,塔楼       ,1元/平米/月,广州侨鑫汇景物业管理有限公司,侨鑫集团有限公司,30栋,982户,暂无门店信息,(白云新市)汇侨路汇侨新城东区,https://gz.lianjia.com/xiaoqu/2110343238861025/,2016.11.29 成交,83,11691,92.3,158,1,0,2,75,2室1厅0厨1卫        ,低楼层 (共9层)          ,71㎡          ,暂无数据              ,暂无数据         ,北   ,2000 ,精装     ,钢混结构  ,        ,一梯八户           ,70年           ,无           ,GZ0001784788          ,商品房          ,2016-06-24         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001784788.html
汇侨新城东区,25141,28,90天成交0套25套正在出租,白云新市,1998年建成 ,塔楼       ,1元/平米/月,广州侨鑫汇景物业管理有限公司,侨鑫集团有限公司,30栋,982户,暂无门店信息,(白云新市)汇侨路汇侨新城东区,https://gz.lianjia.com/xiaoqu/2110343238861025/,2016.09.14 成交,84.5,11503,84.5,245,1,0,0,暂无数据,2室2厅0厨1卫        ,低楼层 (共9层)          ,73.46㎡          ,平层              ,暂无数据         ,南   ,2000 ,简装     ,钢混结构  ,        ,一梯八户           ,70年           ,无           ,GZ0001260302          ,商品房          ,2016-01-13         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001260302.html
金碧新城,33820,75,90天成交8套35套正在出租,白云石井,2004年建成 ,塔楼       ,1.3至1.6元/平米/月,广州市金碧恒盈物业服务有限公司,广州市恒大房地产开发有限公司,11栋,4487户,暂无门店信息,(白云石井)石槎路金碧新城,https://gz.lianjia.com/xiaoqu/2111103317109/,2016.05.14 成交,112.5,17579,112.5,暂无数据,1,0,3,暂无数据,2室2厅0厨1卫        ,低楼层 (共32层)          ,64㎡          ,暂无数据              ,53㎡         ,南   ,2006 ,其他     ,钢混结构  ,        ,三梯八户           ,70年           ,有           ,GZ0001581802          ,商品房          ,2016-08-09         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001581802.html
金信路,21743,0,90天成交0套1套正在出租,白云白云大道南,暂无信息 ,塔楼       ,暂无信息,暂无信息,暂无信息,3栋,126户,暂无门店信息,(白云白云大道南)金信路,https://gz.lianjia.com/xiaoqu/2111793067945945/,2017.04.20 成交,185,22290,185,暂无数据,0,0,1,112,2室2厅1厨1卫        ,高楼层 (共9层)          ,83㎡          ,暂无数据              ,暂无数据         ,东   ,未知 ,其他     ,钢混结构  ,        ,一梯六户           ,70年           ,无           ,GZ0002613901          ,商品房          ,2017-08-24         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0002613901.html
金碧新城,33820,75,90天成交8套35套正在出租,白云石井,2004年建成 ,塔楼       ,1.3至1.6元/平米/月,广州市金碧恒盈物业服务有限公司,广州市恒大房地产开发有限公司,11栋,4487户,暂无门店信息,(白云石井)石槎路金碧新城,https://gz.lianjia.com/xiaoqu/2111103317109/,2016.05.19 成交,117,18628,122,14,1,0,0,暂无数据,2室1厅0厨1卫        ,低楼层 (共32层)          ,62.81㎡          ,暂无数据              ,51.1㎡         ,东北   ,2006 ,其他     ,钢混结构  ,        ,三梯八户           ,70年           ,有           ,GZ0001665806          ,商品房          ,2016-05-05         ,普通住宅          ,满五年       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001665806.html
金碧新城,33820,75,90天成交8套35套正在出租,白云石井,2004年建成 ,塔楼       ,1.3至1.6元/平米/月,广州市金碧恒盈物业服务有限公司,广州市恒大房地产开发有限公司,11栋,4487户,暂无门店信息,(白云石井)石槎路金碧新城,https://gz.lianjia.com/xiaoqu/2111103317109/,2016.05.29 成交,109.6,17678,109.6,暂无数据,1,0,3,暂无数据,2室2厅1厨1卫        ,低楼层 (共11层)          ,62㎡          ,暂无数据              ,暂无数据         ,东北   ,2004 ,简装     ,钢混结构  ,        ,一梯四户           ,70年           ,有           ,GZ0001341880          ,商品房          ,2017-07-17         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001341880.html
金碧新城,33820,75,90天成交8套35套正在出租,白云石井,2004年建成 ,塔楼       ,1.3至1.6元/平米/月,广州市金碧恒盈物业服务有限公司,广州市恒大房地产开发有限公司,11栋,4487户,暂无门店信息,(白云石井)石槎路金碧新城,https://gz.lianjia.com/xiaoqu/2111103317109/,2016.06.03 成交,118,18154,118,暂无数据,1,0,0,暂无数据,2室1厅1厨1卫        ,高楼层 (共27层)          ,65㎡          ,平层              ,暂无数据         ,南   ,2007 ,其他     ,钢混结构  ,        ,三梯八户           ,70年           ,有           ,GZ0001491598          ,商品房          ,2018-03-21         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001491598.html
金碧新城,33820,75,90天成交8套35套正在出租,白云石井,2004年建成 ,塔楼       ,1.3至1.6元/平米/月,广州市金碧恒盈物业服务有限公司,广州市恒大房地产开发有限公司,11栋,4487户,暂无门店信息,(白云石井)石槎路金碧新城,https://gz.lianjia.com/xiaoqu/2111103317109/,2016.12.18 成交,139,21719,140,6,0,0,1,171,2室1厅1厨1卫        ,中楼层 (共32层)          ,64㎡          ,暂无数据              ,暂无数据         ,东北   ,2006 ,其他     ,钢混结构  ,        ,三梯八户           ,70年           ,有           ,GZ0002299005          ,商品房          ,2016-12-12         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0002299005.html
金碧新城,33820,75,90天成交8套35套正在出租,白云石井,2004年建成 ,塔楼       ,1.3至1.6元/平米/月,广州市金碧恒盈物业服务有限公司,广州市恒大房地产开发有限公司,11栋,4487户,暂无门店信息,(白云石井)石槎路金碧新城,https://gz.lianjia.com/xiaoqu/2111103317109/,2016.06.08 成交,106.5,17178,106.5,暂无数据,1,0,0,暂无数据,2室1厅1厨1卫        ,低楼层 (共11层)          ,62㎡          ,暂无数据              ,暂无数据         ,东   ,2004 ,精装     ,钢混结构  ,        ,一梯四户           ,70年           ,有           ,GZ0001536561          ,商品房          ,2018-03-09         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001536561.html
金碧新城,33820,75,90天成交8套35套正在出租,白云石井,2004年建成 ,塔楼       ,1.3至1.6元/平米/月,广州市金碧恒盈物业服务有限公司,广州市恒大房地产开发有限公司,11栋,4487户,暂无门店信息,(白云石井)石槎路金碧新城,https://gz.lianjia.com/xiaoqu/2111103317109/,2016.12.19 成交,153,21858,158,61,0,0,0,63,2室1厅1厨1卫        ,低楼层 (共32层)          ,70㎡          ,暂无数据              ,暂无数据         ,南   ,2006 ,其他     ,钢混结构  ,        ,三梯八户           ,70年           ,有           ,GZ0002301590          ,商品房          ,2016-10-19         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0002301590.html
金碧新城,33820,75,90天成交8套35套正在出租,白云石井,2004年建成 ,塔楼       ,1.3至1.6元/平米/月,广州市金碧恒盈物业服务有限公司,广州市恒大房地产开发有限公司,11栋,4487户,暂无门店信息,(白云石井)石槎路金碧新城,https://gz.lianjia.com/xiaoqu/2111103317109/,2016.12.22 成交,140,19735,240,暂无数据,1,0,0,116,2室1厅1厨1卫        ,低楼层 (共11层)          ,70.94㎡          ,暂无数据              ,暂无数据         ,东北   ,2004 ,其他     ,钢混结构  ,        ,一梯四户           ,70年           ,有           ,GZ0002303001          ,商品房          ,2017-10-31         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0002303001.html
金碧新城,33820,75,90天成交8套35套正在出租,白云石井,2004年建成 ,塔楼       ,1.3至1.6元/平米/月,广州市金碧恒盈物业服务有限公司,广州市恒大房地产开发有限公司,11栋,4487户,暂无门店信息,(白云石井)石槎路金碧新城,https://gz.lianjia.com/xiaoqu/2111103317109/,2016.12.27 成交,175,23334,180,5,1,0,1,262,2室1厅1厨1卫        ,低楼层 (共32层)          ,75㎡          ,暂无数据              ,暂无数据         ,东北   ,2006 ,其他     ,钢混结构  ,        ,三梯八户           ,70年           ,有           ,GZ0002306155          ,商品房          ,2016-12-22         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0002306155.html
金碧新城,33820,75,90天成交8套35套正在出租,白云石井,2004年建成 ,塔楼       ,1.3至1.6元/平米/月,广州市金碧恒盈物业服务有限公司,广州市恒大房地产开发有限公司,11栋,4487户,暂无门店信息,(白云石井)石槎路金碧新城,https://gz.lianjia.com/xiaoqu/2111103317109/,2017.01.05 成交,245,24020,250,299,0,0,0,61,3室1厅1厨2卫        ,低楼层 (共18层)          ,102㎡          ,暂无数据              ,暂无数据         ,东南   ,2005 ,其他     ,钢混结构  ,        ,两梯六户           ,70年           ,有           ,GZ0002327182          ,商品房          ,2016-03-12         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0002327182.html
金碧新城,33820,75,90天成交8套35套正在出租,白云石井,2004年建成 ,塔楼       ,1.3至1.6元/平米/月,广州市金碧恒盈物业服务有限公司,广州市恒大房地产开发有限公司,11栋,4487户,暂无门店信息,(白云石井)石槎路金碧新城,https://gz.lianjia.com/xiaoqu/2111103317109/,2016.12.30 成交,270,29033,270,1903,1,0,0,872,4室2厅0厨2卫        ,低楼层 (共18层)          ,93㎡          ,暂无数据              ,暂无数据         ,南   ,2005 ,简装     ,钢混结构  ,        ,两梯两户           ,70年           ,有           ,GZ0002233984          ,商品房          ,2011-10-15         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0002233984.html
金碧新城,33820,75,90天成交8套35套正在出租,白云石井,2004年建成 ,塔楼       ,1.3至1.6元/平米/月,广州市金碧恒盈物业服务有限公司,广州市恒大房地产开发有限公司,11栋,4487户,暂无门店信息,(白云石井)石槎路金碧新城,https://gz.lianjia.com/xiaoqu/2111103317109/,2017.01.06 成交,128,20984,128,暂无数据,1,0,4,846,2室2厅1厨1卫        ,低楼层 (共11层)          ,61㎡          ,暂无数据              ,暂无数据         ,东南   ,2004 ,其他     ,钢混结构  ,        ,一梯四户           ,70年           ,有           ,GZ0002304096          ,商品房          ,2017-09-23         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0002304096.html
聚芳园,17987,0,90天成交0套1套正在出租,白云机场路,2000年建成 ,塔楼       ,0.5元/平米/月,广州市云天物业管理有限公司,暂无信息,4栋,82户,暂无门店信息,(白云机场路)广花四路,https://gz.lianjia.com/xiaoqu/2111103317586/,2017.04.02 成交,105,15000,95,212,0,0,0,84,2室1厅0厨1卫        ,中楼层 (共9层)          ,70㎡          ,暂无数据              ,暂无数据         ,北   ,2000 ,简装     ,钢混结构  ,        ,一梯四户           ,70年           ,暂无数据           ,GZ0001974004          ,商品房          ,2016-09-02         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001974004.html
京华雅居,18371,2,90天成交0套1套正在出租,白云新市,1995年建成 ,塔楼       ,0.4元/平米/月,广州市白云物业管理有限公司,广州白云房地产开发总公司,5栋,149户,暂无门店信息,(白云新市)广花四路京华雅居,https://gz.lianjia.com/xiaoqu/2111103317758/,2016.05.09 成交,35,11305,35,暂无数据,1,0,0,暂无数据,1室1厅0厨1卫        ,高楼层 (共9层)          ,30.96㎡          ,暂无数据              ,暂无数据         ,南 北   ,1995 ,简装     ,钢混结构  ,        ,一梯四户           ,70年           ,无           ,GZ0001625387          ,商品房          ,2018-03-16         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001625387.html
京华雅居,18371,2,90天成交0套1套正在出租,白云新市,1995年建成 ,塔楼       ,0.4元/平米/月,广州市白云物业管理有限公司,广州白云房地产开发总公司,5栋,149户,暂无门店信息,(白云新市)广花四路京华雅居,https://gz.lianjia.com/xiaoqu/2111103317758/,2017.03.22 成交,72,11804,75,156,1,0,29,2694,3室1厅1厨1卫        ,中楼层 (共9层)          ,61㎡          ,暂无数据              ,暂无数据         ,南   ,1995 ,其他     ,钢混结构  ,        ,一梯五户           ,70年           ,无           ,GZ0002197359          ,商品房          ,2016-10-17         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0002197359.html
京华雅居,18371,2,90天成交0套1套正在出租,白云新市,1995年建成 ,塔楼       ,0.4元/平米/月,广州市白云物业管理有限公司,广州白云房地产开发总公司,5栋,149户,暂无门店信息,(白云新市)广花四路京华雅居,https://gz.lianjia.com/xiaoqu/2111103317758/,2017.04.17 成交,86,13756,86,暂无数据,1,0,7,290,3室1厅1厨1卫        ,中楼层 (共9层)          ,62.52㎡          ,暂无数据              ,暂无数据         ,北   ,1999 ,其他     ,钢混结构  ,        ,一梯五户           ,70年           ,无           ,GZ0002602081          ,商品房          ,2017-07-29         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0002602081.html
京华雅居,18371,2,90天成交0套1套正在出租,白云新市,1995年建成 ,塔楼       ,0.4元/平米/月,广州市白云物业管理有限公司,广州白云房地产开发总公司,5栋,149户,暂无门店信息,(白云新市)广花四路京华雅居,https://gz.lianjia.com/xiaoqu/2111103317758/,2017.07.16 成交,87,13916,90,317,1,0,52,3262,4室1厅1厨1卫        ,中楼层 (共9层)          ,62.52㎡          ,暂无数据              ,暂无数据         ,北   ,1995 ,其他     ,钢混结构  ,        ,一梯五户           ,70年           ,无           ,GZ0002296670          ,商品房          ,2016-09-02         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0002296670.html
依云小镇,37990,8,90天成交0套5套正在出租,白云白云大道北,2009年建成 ,塔楼       ,1.8至2.5元/平米/月,时代物业管理有限公司,广州市时代中通地产投资有限公司,36栋,366户,暂无门店信息,(白云白云大道北)集贤路依云小镇,https://gz.lianjia.com/xiaoqu/2111103318310/,2016.08.18 成交,300.7,17792,310,174,1,0,0,暂无数据,4室2厅0厨2卫        ,中楼层 (共18层)          ,169㎡          ,暂无数据              ,暂无数据         ,南   ,2009 ,精装     ,钢混结构  ,        ,两梯两户           ,70年           ,有           ,GZ0001634621          ,商品房          ,2016-02-26         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001634621.html
京华雅居,18371,2,90天成交0套1套正在出租,白云新市,1995年建成 ,塔楼       ,0.4元/平米/月,广州市白云物业管理有限公司,广州白云房地产开发总公司,5栋,149户,暂无门店信息,(白云新市)广花四路京华雅居,https://gz.lianjia.com/xiaoqu/2111103317758/,2017.07.16 成交,62.9,13105,55,534,1,0,5,187,2室1厅0厨1卫        ,中楼层 (共9层)          ,48㎡          ,暂无数据              ,暂无数据         ,暂无数据   ,1995 ,其他     ,钢混结构  ,        ,一梯五户           ,70年           ,无           ,GZ0001332058          ,商品房          ,2016-01-29         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001332058.html
依云小镇,37990,8,90天成交0套5套正在出租,白云白云大道北,2009年建成 ,塔楼       ,1.8至2.5元/平米/月,时代物业管理有限公司,广州市时代中通地产投资有限公司,36栋,366户,暂无门店信息,(白云白云大道北)集贤路依云小镇,https://gz.lianjia.com/xiaoqu/2111103318310/,2016.06.22 成交,321.8,19988,330,750,0,0,0,暂无数据,4室2厅0厨2卫        ,高楼层 (共18层)          ,161㎡          ,暂无数据              ,暂无数据         ,南 北   ,2009 ,其他     ,钢混结构  ,        ,两梯两户           ,70年           ,有           ,GZ0001582225          ,商品房          ,2014-06-03         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001582225.html
岭南新世界映悦园,44591,12,90天成交0套10套正在出租,白云白云大道北,2012年建成 ,塔楼       ,2.6元/平米/月,广州市锦日物业服务有限公司,广州集贤庄新世界城市花园发展有限公司,6栋,288户,暂无门店信息,(白云白云大道北)新广从路岭南新世界映悦园,https://gz.lianjia.com/xiaoqu/2110343239123054/,2016.06.17 成交,180,24658,190,50,0,0,1,1,2室2厅0厨1卫        ,低楼层 (共9层)          ,73㎡          ,暂无数据              ,暂无数据         ,南   ,2008 ,其他     ,钢混结构  ,        ,两梯四户           ,70年           ,有           ,GZ0001631687          ,商品房          ,2016-04-28         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001631687.html
岭南新世界映悦园,44591,12,90天成交0套10套正在出租,白云白云大道北,2012年建成 ,塔楼       ,2.6元/平米/月,广州市锦日物业服务有限公司,广州集贤庄新世界城市花园发展有限公司,6栋,288户,暂无门店信息,(白云白云大道北)新广从路岭南新世界映悦园,https://gz.lianjia.com/xiaoqu/2110343239123054/,2016.08.18 成交,180,24000,180,21,0,0,2,暂无数据,2室2厅1厨1卫        ,低楼层 (共9层)          ,75㎡          ,暂无数据              ,暂无数据         ,南   ,2008 ,其他     ,钢混结构  ,        ,两梯四户           ,70年           ,有           ,GZ0001892367          ,商品房          ,2016-07-28         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001892367.html
三元里大道,22419,13,90天成交0套13套正在出租,白云机场路,1955年建成 ,塔楼       ,暂无信息,无物业管理服务,无开发商,143栋,3929户,暂无门店信息,(白云机场路)三元里大道,https://gz.lianjia.com/xiaoqu/2111103831622/,2017.08.30 成交,42,15556,43,159,0,0,17,1029,1室1厅1厨1卫        ,高楼层 (共9层)          ,27㎡          ,暂无数据              ,暂无数据         ,南   ,1995 ,简装     ,钢混结构  ,        ,一梯八户           ,70年           ,无           ,GZ0002871953          ,商品房          ,2017-03-24         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0002871953.html
岭南新世界映悦园,44591,12,90天成交0套10套正在出租,白云白云大道北,2012年建成 ,塔楼       ,2.6元/平米/月,广州市锦日物业服务有限公司,广州集贤庄新世界城市花园发展有限公司,6栋,288户,暂无门店信息,(白云白云大道北)新广从路岭南新世界映悦园,https://gz.lianjia.com/xiaoqu/2110343239123054/,2016.09.30 成交,270,27552,268,26,0,0,2,2,3室2厅1厨2卫        ,中楼层 (共9层)          ,98㎡          ,暂无数据              ,88㎡         ,北   ,2008 ,其他     ,钢混结构  ,        ,两梯四户           ,70年           ,有           ,GZ0001976192          ,商品房          ,2016-09-04         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001976192.html
岭南新世界映悦园,44591,12,90天成交0套10套正在出租,白云白云大道北,2012年建成 ,塔楼       ,2.6元/平米/月,广州市锦日物业服务有限公司,广州集贤庄新世界城市花园发展有限公司,6栋,288户,暂无门店信息,(白云白云大道北)新广从路岭南新世界映悦园,https://gz.lianjia.com/xiaoqu/2110343239123054/,2017.02.22 成交,283,34454,270,285,1,0,13,1078,2室2厅0厨1卫        ,高楼层 (共17层)          ,82.14㎡          ,暂无数据              ,暂无数据         ,北   ,2008 ,其他     ,钢混结构  ,        ,两梯四户           ,70年           ,有           ,GZ0002332047          ,商品房          ,2016-05-13         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0002332047.html
三元里大道,22419,13,90天成交0套13套正在出租,白云机场路,1955年建成 ,塔楼       ,暂无信息,无物业管理服务,无开发商,143栋,3929户,暂无门店信息,(白云机场路)三元里大道,https://gz.lianjia.com/xiaoqu/2111103831622/,2016.02.29 成交,34,10462,35,27,1,0,0,暂无数据,1室1厅0厨1卫        ,中楼层 (共8层)          ,32.5㎡          ,暂无数据              ,暂无数据         ,暂无数据   ,1995 ,其他     ,钢混结构  ,        ,一梯四户           ,70年           ,无           ,GZ0001343186          ,商品房          ,2016-02-03         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001343186.html
岭南新世界映悦园,44591,12,90天成交0套10套正在出租,白云白云大道北,2012年建成 ,塔楼       ,2.6元/平米/月,广州市锦日物业服务有限公司,广州集贤庄新世界城市花园发展有限公司,6栋,288户,暂无门店信息,(白云白云大道北)新广从路岭南新世界映悦园,https://gz.lianjia.com/xiaoqu/2110343239123054/,2016.10.06 成交,280,28572,280,148,0,0,2,4,3室2厅1厨2卫        ,高楼层 (共9层)          ,98㎡          ,暂无数据              ,暂无数据         ,北   ,2008 ,其他     ,钢混结构  ,        ,两梯四户           ,70年           ,有           ,GZ0001975146          ,商品房          ,2016-05-11         ,普通住宅          ,满两年       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001975146.html
凯云新世界,53940,7,90天成交0套9套正在出租,白云白云大道北,暂无信息 ,塔楼       ,1.2至4.2元/平米/月,新世界物业发展有限公司,新世界中国地产有限公司,25栋,1032户,暂无门店信息,(白云白云大道北)岭云路凯云新世界,https://gz.lianjia.com/xiaoqu/219998401548133/,2016.04.26 成交,560,33533,560,15,1,0,1,1,4室2厅0厨3卫        ,低楼层 (共26层)          ,167㎡          ,暂无数据              ,暂无数据         ,南   ,未知 ,其他     ,钢混结构  ,        ,两梯两户           ,70年           ,有           ,GZ0001584060          ,商品房          ,2016-04-12         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001584060.html
